class combined
population/area	coverage	average_hit	pc90
World	49.02%	43.08	4.12
average	49.02%	43.08	4.12
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
World	0	50.98	100.0
World	1	0.0	49.02
World	2	0.0	49.02
World	3	0.0	49.02
World	4	0.0	49.02
World	5	0.0	49.02
World	6	0.0	49.02
World	7	0.0	49.02
World	8	0.0	49.02
World	9	0.0	49.02
World	10	0.0	49.02
World	11	0.0	49.02
World	12	0.0	49.02
World	13	0.0	49.02
World	14	0.0	49.02
World	15	0.0	49.02
World	16	0.0	49.02
World	17	0.0	49.02
World	18	0.0	49.02
World	19	0.0	49.02
World	20	0.0	49.02
World	21	14.75	49.02
World	22	0.0	34.28
World	23	0.0	34.28
World	24	0.0	34.28
World	25	0.0	34.28
World	26	0.0	34.28
World	27	0.0	34.28
World	28	0.0	34.28
World	29	0.0	34.28
World	30	0.0	34.28
World	31	0.0	34.28
World	32	0.0	34.28
World	33	0.0	34.28
World	34	0.0	34.28
World	35	0.0	34.28
World	36	14.59	34.28
World	37	0.0	19.69
World	38	0.0	19.69
World	39	0.0	19.69
World	40	0.0	19.69
World	41	0.0	19.69
World	42	0.0	19.69
World	43	0.0	19.69
World	44	0.0	19.69
World	45	0.0	19.69
World	46	0.0	19.69
World	47	0.0	19.69
World	48	0.0	19.69
World	49	0.0	19.69
World	50	0.0	19.69
World	51	0.0	19.69
World	52	0.0	19.69
World	53	0.0	19.69
World	54	0.0	19.69
World	55	0.0	19.69
World	56	0.0	19.69
World	57	1.85	19.69
World	58	0.0	17.84
World	59	0.0	17.84
World	60	0.0	17.84
World	61	0.0	17.84
World	62	0.0	17.84
World	63	0.0	17.84
World	64	0.0	17.84
World	65	0.0	17.84
World	66	0.0	17.84
World	67	0.0	17.84
World	68	0.0	17.84
World	69	0.0	17.84
World	70	0.0	17.84
World	71	0.0	17.84
World	72	0.0	17.84
World	73	0.0	17.84
World	74	0.0	17.84
World	75	0.0	17.84
World	76	0.0	17.84
World	77	0.0	17.84
World	78	0.0	17.84
World	79	0.0	17.84
World	80	0.0	17.84
World	81	0.0	17.84
World	82	0.0	17.84
World	83	0.0	17.84
World	84	0.0	17.84
World	85	0.0	17.84
World	86	0.0	17.84
World	87	0.0	17.84
World	88	0.0	17.84
World	89	0.0	17.84
World	90	0.0	17.84
World	91	0.0	17.84
World	92	0.0	17.84
World	93	0.0	17.84
World	94	0.0	17.84
World	95	0.0	17.84
World	96	0.0	17.84
World	97	0.0	17.84
World	98	0.0	17.84
World	99	0.0	17.84
World	100	0.0	17.84
World	101	0.0	17.84
World	102	0.0	17.84
World	103	0.0	17.84
World	104	0.0	17.84
World	105	0.0	17.84
World	106	0.0	17.84
World	107	0.0	17.84
World	108	0.0	17.84
World	109	0.0	17.84
World	110	0.0	17.84
World	111	0.0	17.84
World	112	0.0	17.84
World	113	0.0	17.84
World	114	0.0	17.84
World	115	0.0	17.84
World	116	0.0	17.84
World	117	0.0	17.84
World	118	0.0	17.84
World	119	0.0	17.84
World	120	0.0	17.84
World	121	0.0	17.84
World	122	0.0	17.84
World	123	0.0	17.84
World	124	0.0	17.84
World	125	0.0	17.84
World	126	0.0	17.84
World	127	0.0	17.84
World	128	0.0	17.84
World	129	0.0	17.84
World	130	0.0	17.84
World	131	0.0	17.84
World	132	0.0	17.84
World	133	0.0	17.84
World	134	0.0	17.84
World	135	0.0	17.84
World	136	0.0	17.84
World	137	0.0	17.84
World	138	0.0	17.84
World	139	0.0	17.84
World	140	0.0	17.84
World	141	0.0	17.84
World	142	0.0	17.84
World	143	0.0	17.84
World	144	0.0	17.84
World	145	0.0	17.84
World	146	0.0	17.84
World	147	0.0	17.84
World	148	0.0	17.84
World	149	0.0	17.84
World	150	0.0	17.84
World	151	0.0	17.84
World	152	0.0	17.84
World	153	0.0	17.84
World	154	0.0	17.84
World	155	0.0	17.84
World	156	0.0	17.84
World	157	0.0	17.84
World	158	0.0	17.84
World	159	0.0	17.84
World	160	0.0	17.84
World	161	0.0	17.84
World	162	0.0	17.84
World	163	0.0	17.84
World	164	0.0	17.84
World	165	0.0	17.84
World	166	0.0	17.84
World	167	0.0	17.84
World	168	0.0	17.84
World	169	0.0	17.84
World	170	0.0	17.84
World	171	0.0	17.84
World	172	0.0	17.84
World	173	0.0	17.84
World	174	0.0	17.84
World	175	0.0	17.84
World	176	0.0	17.84
World	177	0.0	17.84
World	178	0.0	17.84
World	179	0.0	17.84
World	180	0.0	17.84
World	181	0.0	17.84
World	182	0.0	17.84
World	183	14.24	17.84
World	184	0.0	3.6
World	185	0.0	3.6
World	186	0.0	3.6
World	187	0.0	3.6
World	188	0.0	3.6
World	189	0.0	3.6
World	190	0.0	3.6
World	191	0.0	3.6
World	192	0.0	3.6
World	193	0.0	3.6
World	194	0.0	3.6
World	195	0.0	3.6
World	196	0.0	3.6
World	197	0.0	3.6
World	198	0.0	3.6
World	199	0.0	3.6
World	200	0.0	3.6
World	201	0.0	3.6
World	202	0.0	3.6
World	203	0.0	3.6
World	204	1.81	3.6
World	205	0.0	1.79
World	206	0.0	1.79
World	207	0.0	1.79
World	208	0.0	1.79
World	209	0.0	1.79
World	210	0.0	1.79
World	211	0.0	1.79
World	212	0.0	1.79
World	213	0.0	1.79
World	214	0.0	1.79
World	215	0.0	1.79
World	216	0.0	1.79
World	217	0.0	1.79
World	218	0.0	1.79
World	219	1.79	1.79


* A plot has been generated in 'data/S.aureus/evaluation_outputs/popcoverage/popcoverage/antigen_83_Q2G1S6_Staphylococcal_BA000018.3_tpos:637523-637595_mmseqs_results_MHCII_plot' directory with <population>_<mhc_class> suffixed.
