class combined
population/area	coverage	average_hit	pc90
World	81.81%	186.92	28.58
average	81.81%	186.92	28.58
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
World	0	18.19	100.0
World	1	0.0	81.81
World	2	0.0	81.81
World	3	0.0	81.81
World	4	0.0	81.81
World	5	0.0	81.81
World	6	0.0	81.81
World	7	0.0	81.81
World	8	0.0	81.81
World	9	0.0	81.81
World	10	0.0	81.81
World	11	0.0	81.81
World	12	0.0	81.81
World	13	0.0	81.81
World	14	0.0	81.81
World	15	0.0	81.81
World	16	0.0	81.81
World	17	0.0	81.81
World	18	0.0	81.81
World	19	0.0	81.81
World	20	0.0	81.81
World	21	0.0	81.81
World	22	0.0	81.81
World	23	0.0	81.81
World	24	0.0	81.81
World	25	0.0	81.81
World	26	0.0	81.81
World	27	0.0	81.81
World	28	0.0	81.81
World	29	0.0	81.81
World	30	0.0	81.81
World	31	0.0	81.81
World	32	0.0	81.81
World	33	0.0	81.81
World	34	0.0	81.81
World	35	0.0	81.81
World	36	0.0	81.81
World	37	0.0	81.81
World	38	0.0	81.81
World	39	0.0	81.81
World	40	0.0	81.81
World	41	0.0	81.81
World	42	0.0	81.81
World	43	0.0	81.81
World	44	0.0	81.81
World	45	0.0	81.81
World	46	0.0	81.81
World	47	0.0	81.81
World	48	0.0	81.81
World	49	0.0	81.81
World	50	0.0	81.81
World	51	0.0	81.81
World	52	1.98	81.81
World	53	0.0	79.83
World	54	0.0	79.83
World	55	0.0	79.83
World	56	0.0	79.83
World	57	0.0	79.83
World	58	0.0	79.83
World	59	0.0	79.83
World	60	0.0	79.83
World	61	0.0	79.83
World	62	0.0	79.83
World	63	0.0	79.83
World	64	0.0	79.83
World	65	0.0	79.83
World	66	0.0	79.83
World	67	0.0	79.83
World	68	0.0	79.83
World	69	0.0	79.83
World	70	9.08	79.83
World	71	0.0	70.74
World	72	2.88	70.74
World	73	0.0	67.86
World	74	0.0	67.86
World	75	0.0	67.86
World	76	0.0	67.86
World	77	0.0	67.86
World	78	0.0	67.86
World	79	0.0	67.86
World	80	0.0	67.86
World	81	0.0	67.86
World	82	0.0	67.86
World	83	0.0	67.86
World	84	0.0	67.86
World	85	0.0	67.86
World	86	0.0	67.86
World	87	0.0	67.86
World	88	0.0	67.86
World	89	0.0	67.86
World	90	0.0	67.86
World	91	0.0	67.86
World	92	0.0	67.86
World	93	0.0	67.86
World	94	0.0	67.86
World	95	0.0	67.86
World	96	0.0	67.86
World	97	0.0	67.86
World	98	0.0	67.86
World	99	0.0	67.86
World	100	0.0	67.86
World	101	0.0	67.86
World	102	0.0	67.86
World	103	0.0	67.86
World	104	0.0	67.86
World	105	0.0	67.86
World	106	0.0	67.86
World	107	0.0	67.86
World	108	0.0	67.86
World	109	0.0	67.86
World	110	0.0	67.86
World	111	0.0	67.86
World	112	0.0	67.86
World	113	0.0	67.86
World	114	0.0	67.86
World	115	0.0	67.86
World	116	0.0	67.86
World	117	0.0	67.86
World	118	0.0	67.86
World	119	0.0	67.86
World	120	0.0	67.86
World	121	0.0	67.86
World	122	0.43	67.86
World	123	0.0	67.43
World	124	0.15	67.43
World	125	0.0	67.28
World	126	0.0	67.28
World	127	0.0	67.28
World	128	0.0	67.28
World	129	0.0	67.28
World	130	0.0	67.28
World	131	0.0	67.28
World	132	4.91	67.28
World	133	0.0	62.37
World	134	0.0	62.37
World	135	0.0	62.37
World	136	0.0	62.37
World	137	0.0	62.37
World	138	0.0	62.37
World	139	0.0	62.37
World	140	0.0	62.37
World	141	0.0	62.37
World	142	0.62	62.37
World	143	0.0	61.75
World	144	0.0	61.75
World	145	0.0	61.75
World	146	0.0	61.75
World	147	0.0	61.75
World	148	0.0	61.75
World	149	0.0	61.75
World	150	0.0	61.75
World	151	0.0	61.75
World	152	0.0	61.75
World	153	0.0	61.75
World	154	0.0	61.75
World	155	0.0	61.75
World	156	0.0	61.75
World	157	0.0	61.75
World	158	0.0	61.75
World	159	3.02	61.75
World	160	0.0	58.73
World	161	0.0	58.73
World	162	0.0	58.73
World	163	0.0	58.73
World	164	0.0	58.73
World	165	0.0	58.73
World	166	0.0	58.73
World	167	0.0	58.73
World	168	0.0	58.73
World	169	0.0	58.73
World	170	0.0	58.73
